app,pfr,data_type
date,game_date,str
game,game_num,int
week,week_num,int
team,team,str
game_location,game_location,str
opp,opp,str
result,game_result,str
team_pts,game_result,int
opp_pts,game_result,int
start,gs,str
cmp,pass_cmp,int
att,pass_att,int
pass_yds,pass_yds,int
pass_td,pass_td,int
int,pass_int,int
qbr,pass_rating,float
sacked_qty,pass_sacked,int
sacked_yds,pass_sacked_yds,int
rush_att,rush_att,int
rush_yds,rush_yds,int
rush_td,rush_td,int
targets,targets,int
receptions,rec,int
rec_yds,rec_yds,int
rec_td,rec_td,int
xp_made,xpm,int
xp_att,xpa,int
fg_made,fgm,int
fg_att,fga,int
fumbles,fumbles,int
fumbles_lost,fumbles_lost,int
snap_count,offense,int
snap_pct,off_pct,float
total_td,all_td,int
two_pcs,two_pt_md,int
